"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol"
"ENSG00000270390",49.1774068645857,21.3900596964854,3.04456175796845,7.02566129279584,2.13054730721283e-12,7.30585977116351e-08,"SFXN4P1"
"ENSG00000186827",4.97927449829228,-0.213390126444368,2.06755150569553,-0.103209098228769,0.917797019134095,0.999965133574675,"TNFRSF4"
"ENSG00000186891",7.94563473154974,-0.461863400576824,2.00691309052022,-0.230136224014117,0.817985917527598,0.999965133574675,"TNFRSF18"
"ENSG00000160072",123.409751515868,0.265213432616694,1.54964295417701,0.171144863984197,0.864109859882966,0.999965133574675,"ATAD3B"
"ENSG00000260179",3.20128908869012,-3.15413682884517,2.07679918563538,-1.51874906859624,0.128825670324742,0.999965133574675,NA
"ENSG00000225972",1.09083246339232,-0.289358660572694,2.77240894929092,-0.104370843502976,0.916875059803284,0.999965133574675,"MTND1P23"
"ENSG00000224315",1.60545129966502,0.442887515857858,2.71141442824857,0.1633418747218,0.87024926535078,0.999965133574675,"RPL7P7"
"ENSG00000198744",9.82433283669147,-0.350518034056171,1.46662289435672,-0.238996701473089,0.811108140482046,0.999965133574675,"MTCO3P12"
"ENSG00000228037",2.98063121429496,-2.2888328312061,2.13741788914048,-1.07084012108016,0.284241323480988,0.999965133574675,"LOC100996583"
"ENSG00000142611",62.0141069795431,1.06027588642115,2.04614442885512,0.51818232939422,0.604331062502738,0.999965133574675,"PRDM16"
"ENSG00000225630",167.874135342114,-0.372143307062988,1.43268802222053,-0.259751810087866,0.795055225214596,0.999965133574675,"MTND2P28"
"ENSG00000131584",82.1807003771259,-0.533758619998782,1.59689182391142,-0.334248451902894,0.738192084995714,0.999965133574675,"ACAP3"
"ENSG00000284616",5.62247609405376,0.592845340397195,2.13555309240882,0.277607399462257,0.781313751386465,0.999965133574675,NA
"ENSG00000169972",18.1116912200664,-0.244736971137161,1.76217628440471,-0.138883364452857,0.889542316803185,0.999965133574675,"PUSL1"
"ENSG00000157911",22.559465441818,-1.73281333634629,1.72472521779077,-1.0046895113912,0.315046380208813,0.999965133574675,"PEX10"
"ENSG00000269896",6.84125582114294,-0.440003016832334,1.95456769627862,-0.225115260868208,0.821889609203944,0.999965133574675,"LOC100129534"
"ENSG00000237973",208.997444742994,2.59002949624049,1.44093650044478,1.79746261923479,0.0722622073639682,0.999965133574675,"MTCO1P12"
"ENSG00000224051",29.3391136653499,0.455206877265573,1.54682472712193,0.294284717126643,0.768540349842791,0.999965133574675,"CPTP"
"ENSG00000228463",15.6226267247356,1.82563324666859,1.56863004721258,1.16383926848316,0.244489155079104,0.999965133574675,"RPL23AP21"
"ENSG00000260972",2.3805402620883,-3.90693069621658,2.95120913095259,-1.32384067778873,0.185555963306628,0.999965133574675,NA
